menu_lang,zh_TW,zh_CN,en_US,vi_VN,ja_JP,ko_KR,th_TH,id_ID
home_section_1_p,QPP數位背包是使用門號存放各種數位商品的工具。<br/>手機門號即為QPP帳戶，無須註冊，想要使用數位商品時，只需下載安裝即可。<br/>立即打開QPP查看您有哪些數位物品吧！,QPP数位背包是使用门号存放各种数位商品的工具。<br/>手机门号即为QPP帐户，无须注册，想要使用数位商品时，只需下载安装即可。<br/>立即打开QPP查看您有哪些数位物品吧！,"QPP digital backpack is a storage tool for any digital item.<br/>Just need your phone number, no more register.<br/>While you want to use digital items, only one step download.<br/>Let’s open your QPP to check what digital item you owned!","Balô kỹ thuật số QPP là công cụ sử dụng số di động lưu trữ các loại sản phẩm điện tử.<br/>Số di động cũng là tài khoản QPP, không cần đăng ký, khi muốn sử dụng sản phẩm điện tử, chỉ cần tải và cài đặt là được.<br/>Mở ngày QPP để xem bạn có các sản phẩm điện tử nào nhé!",QPPデジタルバックパックとは、各種類のデジタル商品を収納できるツールでございます。<br/>携帯番号があれば、登録することもなくご利用になれます。<br/>収納されたデジタル商品を使おうとする際に、ダウンロードしてインストールすれば使えです。<br/>今すぐQPPを開けて、どのようなデジタル商品を持ってるかを確認しましょう。,QPP 디지털 인벤토리는 여러개의 디지털 아이템을 저장하는 도구입니다.<br/>핸드폰 번호가 바로 QPP계정이며 등록할 필요없이 디지털 아이템을 사용 원하실 때 다운로드해서 설치하면 됩니다.<br/>QPP앱을 즉시 오픈하여 어떤 디지털 아이템을 보유하고 있는지 확인해보세요!,กระเป๋าดิจิทัล QPP เป็นเครื่องมือสำหรับจัดเก็บสินค้าดิจิทัลต่าง ๆ โดยใช้หมายเลขมือถือ หมายเลขมือถือก็เป็นบัญชีของ QPP ไม่ต้องลงทะเบียน เมื่อต้องการสินค้าดิจิทัลเพียงดาวน์โหลดก็สามารถใช้ได้เลย รีบมาเปิด QPP ดูว่ามีสินค้าดิจิทัลอะไรที่คุณต้องการกันเถอะ,"Ransel digital QPP adalah alat untuk menyimpan berbagai produk digital menggunakan nomor telpon.<br/>Nomor telepon adalah akun QPP, tidak perlu registrasi, ketika ingin menggunakan produk digital, kamu hanya perlu mengunduh dan menginstalnya.<br/>Buka QPP sekarang untuk melihat item digital apa yang kamu miliki!"
home_section_1_slogan,即刻登入<span>免費擁有數位背包</span>,即刻登入<span>免费拥有数位背包</span>,Log in now and <span>get your free digital backpack</span>.,Đăng nhập ngay miễn phí sử dụng balô kỹ thuật số,今すぐログインして、<span>無料デジタルバックを手に入れましょう</span>。,바로 로그인하여 <span>무료로 디지털 인벤토리를 획득가능합니다</span>,ล็อกอินตอนนี้<span>จะได้รับกระเป๋าดิจิทัลฟรี</span>.,Log in sekarang dan dapatkan digital backpack secara gratis.
home_section_1_slogan2,每邀請一名朋友註冊再加拿 <span class='text-yellow'>QPP Coin 30 點</span>,每邀请一名朋友注册再加拿 <span class='text-yellow'>QPP Coin 30 点</span>,Get <span class='text-yellow'>QPP Coin 30 points</span> with each registered friend you invited.,Mỗi lần mời một người bạn đăng kí nhận <span class='text-yellow'>30 coin QPP</span>,友達を登録するよう招待するたびに、 <span class='text-yellow'>30 QPP コイン</span>を追加で獲得できます。,친구 1명 초대 등록 마다 추가로 <span class='text-yellow'>QPP Coin 30</span>포인트 획득 가능합니다.,เชิญเพื่อนหนึ่งคนก็จะได้รับ <span class='text-yellow'>QPP Coin 30 แต้มเพิ่ม</span>,Undang teman anda dan dapatkan <span class='text-yellow'>30 poin koin QPP</span>
home_section_2_title,數位背包輕鬆創建物品，管理介面簡單,数位背包轻松创建物品，管理介面简单,Use the digital backpack to create and manage items easily!,"Balô kỹ thuật số dễ dàng tạo vật phẩm, giao diện quản lý đơn giản",デジタルバッグでアイテム作成がサクサク、会員管理がラクラク！,디지털 인벤토리에 물품을 간단하게 생성하며 관리 인터베이스가 간단합니다,กระเป๋าดิจิทัลสร้างสินค้าอย่างสะดวก การจัดการอินเทอร์เฟซที่ง่าย,Gunakan backpack digital untuk membuat dan mengelola item dengan mudah!
home_section_2_item1_title,遊戲虛寶自由移轉,游戏虚宝自由移转,Transfering in-game items as you like.,Vật phẩm ảo trong game tự do chuyển đổi,ゲームアイテムの自由送付,게임 가상 보물 자유롭게 이전,ย้ายสมบัติเสมือนในเกมส์ได้ที่ต้องการ,Transfer item di dalam game sesuka-mu
home_section_2_item1_p,合作夥伴的遊戲虛寶，將可任你移轉給他人兌換使用，不再被遊戲限制給束縛住！,合作伙伴的游戏虚宝，将可任你移转给他人兑换使用，不再被游戏限制给束缚住！,"You can transfer the in-game items from the game of our partner to anyone, and manage it without any limitation!","Vật phẩm ảo của đối phương hợp tác, thì có thể chuyển nhượng cho bất kì ai sử dụng trao đổi, không bị trò chơi giới hạn ràng buộc!",パートナーゲームのアイテムは、自由に他の人に譲渡でき、ゲームによって制限されることはなくなります！,파트너사의 가상 보물을 다른 사람에게 이전하여 사용가능하며 다시 게임 제한으로 인해 속박되지 않습니다！,สมบัติเสมือนของพันธมิตรก็สามารถส่งให้ผู้อื่นใช้ได้ แล้วไม่ต้องถูกเกมส์ผูกพัน!,"Anda dapat mentransfer item dalam game dari partner game anda kepada siapa pun, dan mengelolanya tanpa batasan apa pun!"
home_section_2_item2_title,安心保存會員卡,安心保存会员卡,The member card that makes you feel safe.,Yên tâm lưu thẻ thành viên,安心な会員カード保存！,회원 카드 안전하게 보존,บัตรสมาชิกที่บันทึกปลอดภัย,Kartu anggota dapat membuat anda merasa aman
home_section_2_item2_p,透過最先進的資料儲存技術，QPP 可快速發行各類數位會員卡，取代紙本會員卡保存不易的問題！,透过最先进的资料储存技术，QPP 可快速发行各类数位会员卡，取代纸本会员卡保存不易的问题！,"By cutting edge data storage technology, QPP can quickly publish membership card, and solve the keeping problem of physical cards!","Thông qua công nghệ lưu trữ dữ liệu tiên tiến nhất, QPP có thể phát hành nhanh chóng các loại thẻ hội viên kỹ thuật số, thay thế vấn đề bất tiện lưu trữ thẻ hội viên bằng giấy!",QPPは最先端のデータ保存技術を使って、あらゆる種類のデジタル会員カードを素早く発行し、紙の会員カードを保管するのが難しいという問題を取り換える。,가장 선진한 정보 저장 기술을 통해 QPP에서 빠르게 여러가지 종류의 디지털 회원 카드를 발행가능하며 보존 어려운 종이 회원 카드를 대체가능합니다!,ด้วยเทคโนโลยีการจัดเก็บข้อมูลที่ทันสมัยที่สุด QPP สามารถออกบัตรสมาชิกดิจิทัลต่าง ๆ ได้อย่างรวดเร็ว แล้วแทนที่ปัญหายุ่งยากในการเก็บรักษาบัตรสมาชิกแบบกระดาษ!,"Dengan teknologi penyimpanan data yang canggih, QPP dapat dengan cepat menerbitkan kartu keanggotaan, dan memecahkan masalah penyimpanan kartu fisik!"
home_section_2_item3_title,票券暢行無阻礙,票券畅行无阻碍,Go anywhere with the ticket in your hands,Vé thuận lợi không bị ngăn cản,チケットはどこでも便利,티켓으로 막힘없이 순조롭게 통행,ตั๋วที่ไม่มีข้อจำกัด,Pergi kemanapun dengan tiket di tangan anda
home_section_2_item3_p,門票、折價劵不怕弄丟，通通存進QPP數位背包內，一鍵使用輕鬆享受！,门票、折价劵不怕弄丢，通通存进QPP数位背包内，一键使用轻松享受！,"Worry no more about ticket loss, keep them all in QPP Digital Backpack, and use it with one tap!","Vé vào cửa, vé giảm giá không sợ bị mất, toàn bộ đều được lưu giữ tại ba lô kỹ thuật số, một cú nhấp chia sẻ dễ dàng!",チケットや割引クーポンを紛失することを恐れず、すべてQPPデジタルバックに保存され、ワンクリックで簡単に楽しむことができます！,"티켓, 할인권 잃어버린 일이 없이 모두 QPP디지털 인벤토리에서 저장하며 한 키를 통해 손조롭게 누릴 수 있습니다！",ตั๋ว คูปองส่วนลดไม่ต้องกลัวหา ทั้งหมดถูกเก็บไว้ในกระเป๋าดิจิทัล QPP ปุ่มเดียวให้คุณใช้ง่ายและสบาย!,"Tidak perlu khawatir lagi tentang kehilangan tiket, simpan semuanya di QPP Digital Backpack, dan gunakan dengan satu jari!"
home_section_2_item4_title,更多豐富功能等你挖掘,更多丰富功能等你挖掘,A whole new world with multifunction awaits.,Càng nhiều chức năng phong phú chờ bạn khai thác,もっと豊富な機能が待ってます！,더 많은 풍부한 기능을 발굴하세요,ฟังก์ชันที่มากมายรอคุณมาเปิดเจอ,Lebih banyak lagi fungsi keren menanti anda
home_section_2_item4_p,QPP的目標是成為全球最大的虛實整合平台。還可透過先進 SDK 串接，還可解鎖更多獨家功能！,QPP的目标是成为全球最大的虚实整合平台。还可透过先进 SDK 串接，还可解锁更多独家功能！,"The goal of QPP is to become the biggest virtual-physic integration platform in the world, and more unique functions are coming via advanced SDK Integration!","Mục tiêu của QPP là trở thành nền tảng hội nhập thực và ảo lớn nhất thế giới. Có thể thông qua SDK tiên tiến nhất kết nối, còn có thể độc quyền  mở khóa nhiều chức năng khác!",QPPの目標は、台湾最大のバーチャルおよびリアルの統合プラットフォームになることです。<br />また、SDKと接続し、もっとたくさんの専有機能を利用できます！,QPP의 목표는 클로벌 가장 큰 허실 통합 플렛폼이 되는 것입니다.<br />선단한 SDK를 통해 접목 가능하며 더 많은 독점 기능을  발굴할 수 있습니다,เป้าหมายของ QPP คือการเป็นแพลตฟอร์มบูรณาการเสมือนจริงที่ใหญ่ที่สุดในโลก และยังสามารถเชื่อมต่อผ่าน SDK ขั้นสูง แล้วยังปลดล็อกฟังก์ชั่นพิเศษเพิ่มเติมได้อีกด้วย!,"Tujuan QPP adalah menjadi platform integrasi fisik-virtual terbesar di dunia, dan lebih banyak fungsi unik mendatang melalui Integrasi SDK modern!"
home_section_3_title,數位背包功用多，打造便利生活圈！,数位背包功用多，打造便利生活圈！,Let the versatile digital backpack make your social circle!,"Balô kỹ thuật số có nhiều chức năng, tạo nên một vòng quay cuộc sống tiện lợi!",デジタルバッグの多機能でQPPライフを作りましょう！,디지털 인벤토리의 효력이 많으며 편리한 생활관을 만들 수 있습니다！,กระเป๋าดิจิทัลฟังก์ชั่นมากมาย สร้างวงเวียนชีวิตที่สะดวกสบาย!,"Digital backpack  memiliki banyak fungsi, menciptakan lingkaran kehidupan yang nyaman!"
home_section_4_brik1_title,手機門號就是QPP帳號,手机门号就是QPP帐号,Your phone number is the QPP account,Số điện thoại cũng là tài khoản QPP,電話番号＝QPPアカウント,핸드폰 번호가 바로 QPP계정입니다,หมายเลขโทรศัพท์ก็เป็นบัญชีQPP,No hp anda adalah akun QPP
home_section_4_brik1_p,物品移轉不需要對方有用過QPP即可輕鬆發送，系統會發簡訊通知對方有物品轉入，透過簡訊登入QPP即可使用物品，無縫接軌省去繁瑣註冊流程。,物品移转不需要对方有用过QPP即可轻松发送，系统会发简讯通知对方有物品转入，透过简讯登入QPP即可使用物品，无缝接轨省去繁琐注册流程。,"You can transfer items even if the receiver wasn’t a QPP user, the system will send a message to the receiver about item transfer, then the user can access the item by log in QPP via message, throwing all the registration procedures away.","Vật phẩm chuyển đi cho đối phương cần phải sử dụng QPP mới có thể thuận tiện chuyển đổi,hệ thống sẽ phát tin nhắn thông báo tới đối tượng được nhận, thông qua tin nhắn đăng nhập QPP thì có thể sử dụng vật phẩm, không cần thực hiện các bước đăng ký phức tạp.",アイテムを送付する時、相手はQPP会員ではなくでも簡単に実行できます。運営からショットメッセージで相手にアイテム到着とお知らせし、それを通してQPPにログインすると、複雑な登録手順を省いて、アイテムが使用できます。,물품 이전은 상대방이 QPP를 사용하지 않고도 쉽게 발송할 수 있으며 시스템은 상대방에게 물품이 반입되었음을 알려주고 메세지를 통해 QPP에 접속하면 바로 물품을 사용할 수 있어 까다로운 등록 절차 생략에 순조로워졌습니다.,ย้ายสินค้าฝ่ายตรงข้ามไม่จำเป็นต้องเคยใช้ QPP ก็สามารถส่งได้ง่าย ๆ ระบบจะส่งข้อความแจ้งอีกฝ่ายว่ามีสินค้าจะนำเข้า และผ่านข้อความก็สามารถล็อกอิน QPP เข้าไปใช้สินค้า การผสานรวมกันอย่างราบรื่น ช่วยลดขั้นตอนการลงทะเบียนที่น่าเบื่อ,"Anda dapat mentransfer item meskipun penerima bukan pengguna QPP, sistem akan mengirim pesan ke penerima tentang transfer item, kemudian pengguna dapat mengakses item dengan masuk ke QPP melalui pesan, membuang semua prosedur pendaftaran."
home_section_4_brik2_title,一鍵匯入通訊錄名單,一键汇入通讯录名单,Import Contacts with one tap.,Nhập danh sách liên lạc chỉ bằng một cú nhấp chuột,ワンクリックで連絡先をインポート,한 키를 통해 연락처 리스트 등록,หนึ่งปุ่มนำเข้ารายชื่อโทรศัพท์มือถือ,Import kontak dengan satu jari
home_section_4_brik2_p,只要將手機聯絡人一鍵匯入，就能把好友拉進你的QPP 生活圈，一起討論話題、交換物品、甚至領取更多獎勵，樂趣更多好處也更多！,只要将手机联络人一键汇入，就能把好友拉进你的QPP 生活圈，一起讨论话题、交换物品、甚至领取更多奖励，乐趣更多好处也更多！,"Just import your contacts and bring all your friends into QPP life circle. Enjoy the fun of collecting, discussing and exchanging together, the more friends you bring, the more fun you will have!","Thêm danh sách liên lạc thông qua một cú nhấp chuột, thì có thể đem bạn bè thêm vào cuộc sống QPP của bạn, cùng nhau thảo luận, trao đổi vật phẩm, thậm chí nhận càng nhiều quà tặng,nhiều thú vị nhiều hữu ích!",ワンクリックで携帯の連絡先をインポートすることができます！友達をQPPの世界にに引き込み、ポイントを集め、トピックについて話し合い、アイテムを交換し、さらに多くの楽しみや奨励を得られます。,"한 키를 통해 휴대폰 연락처 등록 가능하며 친구분들 님의 QPP생활권에 초대할 수 있으며 함께 포인트 적립,화제 토론,물품 교환등 심지어 더많은 보상을 획득가능하며 재미 요소도 많아집니다!",เพียงหนึ่งปุ่มนำเข้ารายชื่อโทรศัพท์มือถือ ก็สามารถดึงเพื่อนเข้าสู่วงจรชีวิต QPP แล้วมาอภิปรายหัวข้อร่วมกัน แลกเปลี่ยนสินค้า และรับของรางวัลมากมาย พร้อมความสนุกและสิทธิประโยชน์มากมาย!,"Cukup impor kontak nda dan bawa semua teman anda ke dalam lingkaran kehidupan QPP. Nikmati serunya mengumpulkan, berdiskusi, dan bertukar pikiran bersama, semakin banyak teman yang kamu bawa, semakin banyak keseruan yang akan kamu dapatkan!"
home_section_4_brik3_title,輕鬆交流的討論區,轻松交流的讨论区,A discussion place where you can just be yourself.,Khu thảo luận dễ dàng giao lưu,簡単に交流できる掲示板,가볍게 소통 가능한 토론존,ฟอรั่มการสื่อสารที่ง่าย,Tempat diskusi dimana anda bisa jadi diri sendiri
home_section_4_brik3_p,每位用戶都擁有專屬的個人討論專頁，可以輕鬆發起話題並與人交流。不論是生活情報、購物好康、還是八卦話題，都能在 QPP 上找到同伴！,每位用户都拥有专属的个人讨论专页，可以轻松发起话题并与人交流。不论是生活情报、购物好康、还是八卦话题，都能在 QPP 上找到同伴！,"Manage your personal info page and start a chat easily. Life Info, Discount, and Gossip, Find your friends on QPP!","Mỗi người dùng đều có một khu thảo luận riêng, có thể dễ dàng nói chuyện và giao lưu với mọi người. Cho dù đó là thông tin cuộc sống, mua sắm hay các chủ đề buôn chuyện, bạn đều có thể tìm thấy những người bạn đồng hành trên QPP!",各ユーザーは専用の掲示板があって、簡単にトピックを開始したり、他のユーザーと交流したりできます。 生活情報、買い物、ゴシップなどは全部QPPで仲間を見つけることができます。,"유저마다 전속의 개인 토론페이지가 가지며 쉽게 화제를 만들어서 타인과 소통가능합니다.생활 정보,굿쇼핑을 막론하고 스캔 화제들까지 모두 QPP앱에서 동반자를 찾을 수 있습니다!",ผู้ใช้แต่ละคนมีหน้าสนทนาส่วนตัวโดยเฉพาะ ซึ่งสามารถเริ่มหัวข้อและสื่อสารกับผู้อื่นได้อย่างง่ายดาย ไม่ว่าจะเป็นข้อมูลชีวิต ช้อปปิ้งดีๆ หรือเรื่องซุบซิบ คุณสามารถหาเพื่อนได้ใน QPP!,"Kelola halaman info pribadi anda dan mulai mengobrol dengan mudah. Info Kehidupan, Diskon, dan Gosip, Temukan teman anda di QPP!"
home_digibag_title,將您的服務整合至QPP數位背包發揮最大效益！,将您的服务整合至QPP数位背包发挥最大效益！,Integrating your services into QPP Digital Backpack for the maximum efficiency!,Đem toàn bộ phục vụ của bạn đến QPP balô kỹ thuật số để nhận lợi ích tốt nhất!,サービスをQPPデジタルバッククに統合して、メリットを最大化します！,님의 서비스를 QPP디지털 인벤토리까지 정합하여 최대의 효익을 발휘할 수 있게 해줍니다!,รวมบริการของคุณไว้ในกระเป๋าเป้ดิจิทัลของ QPP เพื่อรับประโยชน์สูงสุด!,Integrasikan layanan anda ke dalam QPP Digital Backpack untuk mendapatkan efisiensi maksimum!
home_digibag_text,立即申請合作廠商「官方帳號」,立即申请合作厂商「官方帐号」,"Apply business partner's ""Official Account"" now!","Đăng kí ngay nhà hợp tác ""Tài khoản GM""",パートナーメーカーの「公式アカウント」を申請する,파트너사 「공식 계정」을 바로 신청하기,"สมัครพันธมิตรทันที ""บัญชีทางการ""","Daftar partner bisnis ""Akun resmi"" sekarang juga !"
home_digibag_list1_name,數位物品大量創建發送,数位物品大量创建发送,Create and send massive amount of digital item at once,Thiết lập phát đi vật phẩm số số lượng lớn thiết lập,デジタルアイテムを大量に作成して送付,디지털 물품을 대량 생성하여 발급,สินค่าดิจิทัลถูกสร้างขึ้นและส่งในปริมาณมาก,Buat dan kirim item digital dalam jumlah besar sekaligus
home_digibag_list1_p,輕鬆將您創建的數位物品發送給大量用戶。,轻松将您创建的数位物品发送给大量用户。,Send your digital items to a lot of users easily.,Đơn giản giúp bạn thiết lập vật phẩm số phát đi  số lượng lớn tới người dùng.,作成したデジタルアイテムを多数のユーザーに簡単に送付できます。,간단하게 님이 생성된 디지털 물품을 대량의 유저에게 발송가능합니다.,ส่งสินค้าดิจิทัลที่คุณสร้างให้กับผู้ใช้จำนวนมากได้อย่างง่ายดาย,Kirim item digital anda ke banyak pengguna dengan mudah.
home_digibag_list2_name,告別帳號密碼的時代,告别帐号密码的时代,Say goodbye to account and password,Tạm biệt thời đại tài khoản và mật mã,アカウントとパスワードの時代に別れ,계정 번호 및 비밀 번호 사용 시대 고별,ลากับยุคบัญชีและรหัสผ่าน,Ucapkan selamat tinggal pada akun dan kata sandi anda
home_digibag_list2_p,讓用戶在高安全環境下登入您的服務。,让用户在高安全环境下登入您的服务。,Allowing users to log in your service in a safe environment without it.,Để người dùng yên tâm nhất đăng nhập và môi trường phục vụ của bạn.,ユーザーが高セキュリティ環境でサービスにログインできるようにしてます。,높은 안전 환경에서 님의 서비스를 로그인할 수 있게 해줍니다.,ให้ผู้ใช้เข้าสู่ระบบบริการของคุณในสภาพแวดล้อมที่มีความปลอดภัยสูง,Izinkan pengguna masuk ke service di lingkungan yang sangat aman.
home_digibag_list3_name,兌換就是那麼簡單,兑换就是那么简单,Exchange items as easy as possible,Trao đổi cực kì dễ dàng,交換はとても簡単,교환은 그렇게 간단합니다,การแลกเปลี่ยนเป็นเรื่องง่าย ๆ,Bertukar item hanya semudah itu
home_digibag_list3_p,從此用戶不用輸入亂碼來兌換虛擬商品或優惠。,从此用户不用输入乱码来兑换虚拟商品或优惠。,No more random codes for an item or discount.,Từ đây người dùng không cần điền mã để đổi cửa hàng ảo hoặc ưu đãi.,ユーザーはバーチャルアイテムや特典を利用するために文字化けしたコードを入力する必要はありません。,이제 부터 다시 영어 및 숫자로 섞인 깨진글자를 입력하지 않아도 가상 보물 또는 혜택을 교환할 수 있습니다.,ในอนาคตผู้ใช้จะไม่ต้องป้อนรหัสที่อ่านไม่ออกเพื่อแลกรับสินค้าเสมือนจริงหรือส่วนลด,Tidak perlu lagi kode acak untuk item atau diskon.
home_partner_title,合作夥伴,合作伙伴,Business Partner,Cộng sự hợp tác,パートナー,파트너사,พันธมิตร,Partner Bisnis
commodity_info_title,連結,连结,Link,Liên kết,リンク,링크,ลิงค์,Tautan
commodity_info_creator,創建者,创建者,Creator,Người thiết lập,作成者,생성자,ผู้สร้าง,Kreator
commodity_info_publisher,發行者,发行者,Issuer,Người phát hành,発行者,발행자,Issuer,Penerbit
commodity_info_info,說明,说明,Info,Giới thiệu,說明,설명,คำอธิบาย,Info
commodity_info_type_vote,問卷調查,問卷調查,Questionnaire,Câu hỏi điều tra,アンケート調査,설문 조사,แบบสอบถาม,Kuesioner
commodity_info_type_system,系統貨幣,系统货币,System Currency,Hệ thống xu,システム通貨,시스템 코인,ระบบสกุลเงิน,Sistem mata uang
commodity_info_type_digital,數位貨幣,数位货币,Digital Currency,Xu kỹ thuật số,デジタル通貨,디지털 코인,สกุลเงินดิจิทัล,Mata uang digital
commodity_info_type_virtual,虛擬寶物,虚拟宝物,Virtual Treasure,Bảo vật ảo,バーチャルアイテム,가상보물,สมบัติเสมือน,Harta karun virtual
commodity_info_type_voucher,實體票券,实体票券,Voucher,Vé vật lý,リアルチケット,실체 쿠폰,ตั๋วจริง,Voucher
commodity_info_type_eTicket,數位票券,数位票券,Digital Ticket,Vé số kỹ thuật số,デジタルチケット,디지털 티켓,ตั๋วดิจิทัล,Tiket digital
commodity_info_type_id,身份識別,身份识别,Identification,Nhận dạng,ID識別,식별카드,บัตรประจำตัว,Identifikasi
commodity_info_type_number,序號,序号,Serial Number,Số seri,シリアル番号,쿠폰 번호,หมายเลขซีเรียล,Nomor Serial
commodity_info_type_qrcode,QR Code,二维码,QR Code,Mã QR,QRコード,QrCode,คิวอาร์โค้ด,QR Code
commodity_info_type_digital_object,數位物品,数位物品,Digital Item,Vật phẩm kỹ thuật số,デジタルアイテム,디지털 아이템,สินค้าดิจิทัล,Barang Digital
commodity_info_scan_viaQPP,掃描條碼從QPP開啟,扫描条码开启QPP,Scan the QRcode to open the QPP.,Quét mã để mở QPP,コードをスキャンして、QPPを開いてください。,코드를 스캔하여 QPP앱을 오픈하세요.,สแกนบาร์โค้ดเพื่อเปิดQPP,Scan QR-Code untuk membuka QPP
commodity_info_scan_viaQPP_received,掃描條碼從QPP開啟領取,扫描条码从QPP开启领取,Scan barcode to launch QPP and obtain it.,Quét mã xác nhận từ QPP để nhận,QRコードをスキャンし、QPPから受け取りましょう。,QR코드를 스캔하여 QPP오픈 후 수령하기,สแกนบาร์โค้ดเพื่อเปิดรับจาก QPP,Scan barcode utk membuka QPP
commodity_info_scan_download,掃描條碼前往下載,扫描条码前往下载,Scan the barcode to download.,Quét mã QR để tải,QRコードをスキャンし、ダウンロードに進めましょう。,QR코드를 스캔하여 다운로드 받기,สแกนบาร์โค้ดเพื่อดาวน์โหลด,Scan barcode untuk mengunduh
commodity_info_launch_QPP,請開啟QPP應用程式繼續執行步驟,请开启QPP应用程式继续执行步骤,Please open the QPP to process the further step.,Mời mở ứng dụng QPP tiếp tục thực hiện theo các bước,QPPを開き、次のステップを続けてください。,QPP앱을 오픈하여 절차를 계속 실행하세요,โปรดเปิดQPPแล้วดำเนินขั้นตอนต่อ,Buka QPP untuk melihat data pribadi
commodity_info_status,狀態,状态,Status,Trạng thái,状態,상태,สถนะ,Status
commodity_info_vote_now,進行中,进行中,Ongoing,Đang tiến hành,進行中,진행 중,กำลังดำเนิน,Sedang berlangsung
commodity_info_vote_finished,已結束,已结束,Ended,Đã kết thúc,終了,종료되었습니다,สิ้นสุดแล้ว,Berakhir
commodity_info_vote_expired,已過期,已过期,Expired,Đã hết hạn,期間切れ,기한이 지났습니다,หมดอายุแล้ว,Melewati masa berlaku
commodity_info_expriy,截止,截止,Expiry,Dừng,締め切り,마감,หมดเวลา,Berakhir
commodity_info_vote_number,投票人數,投票人数,Vote Count,Số lượng người bỏ phiếu,投票人数,투표 인원 수,จำนวนคนโหวต,Penghitungan Suara
commodity_info_vote_summary,問卷簡介,问卷简介,Questionnaire Info,Giới thiệu bản trắc nghiệm,アンケート説明,설문 조사 소개,ข้อมูลแบบสอบถาม,Info Kuesioner
commodity_info_vote_total,目前統計,目前统计,Current Results,Hiện tại thống kê,現在集計,현재 통계,สถิติปัจจุบัน,Hasil sementara
commodity_info_vote_result,統計結果,统计结果,Statistic Results,Kết quả thống kê,集計結果,통계 결과,ผลสถิติ,Hasil statistik
commodity_info_vote_after,投票結果將於結束後公佈,投票结果将于结束后公布,Results will be announced after voting ends.,Kết thúc bỏ phiếu sẽ công bố kết quả,投票結果は終了後に発表します。,투표 결과는 종료 후에 발표할것입니다.,ผลการโหวตจะประกาศตอนโหวดสิ้นสุด,Hasil akan diumumkan setelah voting berakhir.
commodity_info_vote_over,統計已超過保存期限，故無紀錄,统计已超过保存期限，故无纪录,No record due to the statistical result reservation period is over.,"Thống kế đã vượt qua thời hạn, không thể lưu ghi nhớ",集計は期間切れたため、履歴がありません。,통계 데이터 이미 보존 기한이 지나서 기록을 남아 있지 않습니다.,เกินเวลาจัดเก็บสถิติแล้ว ไม่พบบันทึก,Tidak ada record karena hasil statistik telah berakhir.
commodity_info_people,人數,人数,Vote Count,Số người,人数,인원 수,จำนวนคน,Penghitungan Suara
commodity_info_vote_yet,尚有未完成的投票選項,尚有未完成的投票选项,You have an unfinished vote option.,Có mục bỏ phiếu chưa được hoàn thành,未完成の投票オプションがあります。,아직 투표 완료되지 않은 항목은 있습니다.,ยังมีโครงการโหวตที่ยังไม่เสร็จสิ้นสิ่ง,Anda memiliki pemungutan suara yang belum selesai.
commodity_info_vote_submit,送出,送出,Submit,Chuyển đi,送った,발송,ส่ง,Kirim
commodity_info_vote_login,登入投票,登入投票,Login & Vote,Đăng nhập& bỏ phiếu,ログイン投票,로그인하여 투표하기,ล็อกอินเพื่อโหวต,Login & Pemungutan suara
